id,identifier,category,country_code,text,multi_label,label,text_length
1,@@24942188,hopeless,ph,"We 're living in time of absolute insanity , a I 'm pretty sure most people are aware . For a while , waking up every day to check the news seemed to carry with it the same feeling of panic and dread that action hero probably face when they 're trying to decide whether to cut the blue or green wire on a ticking bomb -- except the bomb instruction long ago burned in a fire and imminent catastrophe seems the likeliest outcome . It hard to stay that on-edge for that long , though , so it natural for people to become inured to this constant chaos , to slump into a malaise of hopelessness and pessimism .",0,0,620
2,@@21968160,migrant,gh,"In Libya today , there are countless number of Ghanaian and Nigerian immigrant . These are the two country with key macroeconomic challenge including unemployment . Let tackle this issue from the root and not the fruit . Thank you",0,0,237
3,@@16584954,immigrant,ie,White House press secretary Sean Spicer said that the focus of immigration action would be illegal immigrant `` who have also otherwise violated our law `` .,0,0,158
4,@@7811231,disabled,nz,Council customer only sign would be displayed . Two of the space would be reserved for disabled person and there would be five P30 space and eight P60 one .,0,0,162
5,@@1494111,refugee,ca,"`` Just like we received migrant fleeing El Salvador and Guatemala in the ' 80 and ' 90 , just like we 've seen thousand of economic refugee , we started seeing Mexicans fleeing the violence in Ju ? rez and other part of Mexico , `` say shelter director Ruben Garcia .",0,0,273
6,@@9382277,in-need,in,"To bring down high blood sugar level , insulin need to be taken . If you are the type who requires insulin during meal time , you will have to take correct dos of insulin in order to lower your blood glucose . Decision need to be taken on when to inject it and how many time to inject . For this , you have to take the help of a health care professional .",0,0,361
7,@@7562079,refugee,za,"The European Union is making an historic mistake in it haste to conclude a refugee deal with Turkey , overlooking human right violation that risk plunging the bloc largest membership candidate into civil war , said Selahattin Demirtas , leader of the nation most prominent pro-Kurdish party .",0,0,301
8,@@23663488,hopeless,nz,"`` They 're either hopeless for being beaten by a 10-year-old , or if they beat him , they 're a big bully . That the joke . In reality he got a great game . ``",0,0,164
9,@@3449225,homeless,ph,"NUEVA ERA , Ilocos Norte - No family shall be homeless under the watch of the municipal government here , said town Mayor Aldrin Garvida .",1,0,138
10,@@2485090,in-need,nz,"His spokesman said the Kremlin needed more information about the rebel ' decision . He also said the rebel statement came only after the Western-backed government in Kiev had declared it would press on with it military operation , implying that Ukraine wa to blame for the rebel ' refusal to heed Putin .",0,0,308
11,@@21290047,migrant,in,A federal appeal court on Tuesday cleared the way for a 17-year-old immigrant held in custody in Texas to obtain an abortion . The full US Court of Appeals for the District of Columbia Circuit ruled 6-3 in favor of the teen . The decision overturned a ruling by a three-judge panel of the court that at least temporarily blocked her from getting an abortion . The Trump administration could still appeal the decision to the Supreme Court .,0,0,440
12,@@16996915,vulnerable,gb,We find ourselves in this situation because people are living longer and a number of more local factor including that the number of people requiring nursing care in their care home is increasing coupled with the increased demand for council-funded care to vulnerable people within their own home .,0,0,300
13,@@13499386,women,pk,"`` Ghostbusters `` is a resurrection of the 1984 hit film but this time the lead are woman , not men .",0,0,101
14,@@14991409,poor-families,my,"In the Government commitment to protect vulnerable group , Najib in the 2017 Budget proposed financial assistance to poor family including General Assistance up to RM300 per month and Children Assistance up to RM450 per month .",0,0,233
15,@@16989969,vulnerable,au,"When my dad died unexpectedly in 2014 , he wa putting the finishing touch to his forthcoming book , Climate Change and the Health of Nations . The book examines historical record and find that human health is very sensitive to change in climate . And drawing on history , he warns that the impact of climatic change -- such a environmental disaster , increasing temperature , and food insecurity -- will amplify infectious disease , under-nutrition , and heat-related death , especially among vulnerable population , such a child and forcibly displaced people .",0,0,577
16,@@23471689,disabled,pk,"Apart from Pakistan and host England , Bangladesh disabled cricket team will also participate in the tournament . < h > Shahid Afridi bag 11 Man of the Match award in T20Is ( Most by any player ) < h > Ab De villiers bagged a pair for the first time in his Test career < h > Super Gossip",0,0,284
17,@@8886184,hopeless,sg,"For those few second , humanity is free of it shackle and one glimpse hope amid the hopelessness .",0,0,102
18,@@14988344,migrant,in,"`` Peace returned to Assam after both Hindus and Muslims agreed to accept 1971 a the cut-off year for citizenship . Today , the government want to push the state towards unrest , `` he said at a convention organized by Krishak Mukti Sangram Samiti . He urged people who arrived in Assam before 1971 to launch a united movement and scuttle the Centre plan to regularize the entry of Hindu immigrant from Bangladesh .",0,0,419
19,@@21929081,disabled,gh,"She said since 2014 , a total of 8000 intellectually disabled people in Ghana had been offered special training to enhance their integration into society .",0,0,155
20,@@1850827,immigrant,tz,"In short , reason behind the operation look reasonable . The problem however , ha been on the implementation side , much a those behind it talk about it success - on the ground that , after all , thousand of illegal immigrant have left `` voluntarily `` to their country of origin , while others have also been repatriated , a leaving the country under the given circumstance wa not optional .",0,0,403
21,@@4694770,immigrant,jm,"Sisi lawyer , Grisel Ybarra , said the Cuban community is on edge amid the ongoing negotiation between Washington and Havana and the uncertainty about what renewed relation will mean for immigrant .",0,0,204
22,@@395048,vulnerable,ph,"Might this mean we 're more vulnerable to pain ? Dr. Francis Javier , who until recently headed the Pain Management Center at St. Luke Medical Center , is looking into the genetics here , comparing Filipinos of mixed ancestry to see if there are difference in the way pain medicine are broken down in the body .",0,0,318
23,@@25154641,homeless,ca,"`` It highlight that different community respond to the issue of homelessness in different way , `` Kneebone said .",0,0,117
24,@@17221429,vulnerable,ph,`` The regional brand so far lag behind the global and big international Chinese handset player in 4G and they have looked vulnerable to failing to jump the generation successfully and lose their place . ``,0,0,206
25,@@7069687,refugee,au,"The incident deepened public doubt about Chancellor Angela Merkel decision to open Germany door to refugee and migrant , whose number reached 1.1 million last year .",0,0,177
26,@@3659219,women,za,Some say that a review of the legislation of sex work help to protect all involved in the service provided by these men and woman .,0,0,133
27,@@16669409,migrant,za,"`` I think that , you know , led to me being detained for five hour , a opposed to another Sudanese person who wa detained for 30 hour and is in his seventy . So , I think that that one aspect of it . On the flip side , when I went to Terminal 4 , they did not know my background , and I did feel -- you know , I guess the point that I actually want to make is , you know , I think this order is a reflection of a larger trend in this country to criminalise black people , to criminalise immigrant to criminalise Muslims . And a a black Muslim immigrant , I 'm really concerned about that . And I do think that the Somalis and Sudanese , people of African descent who are going to be affected by this , you know , I think they 're going to be treated differently , frankly . ``",0,0,786
28,@@9706470,hopeless,us,"This year the 4th of July fall on Monday , so you have a mere 24 hour to kick back and/or make the absolute most of your holiday before it back to the grind . With a time crunch like that , we can understand how it might seem hopeless , but never fear : Lifehacker is here ! Here are some tip to help you dive in headfirst and come out the other side of the holiday intact .",0,0,380
